FILE NAME,TITLE,ARTIST,CONTENT TYPE,SCORE,QUALITY,SCORE,GENRE,SCORE,GENRE SECONDARY,SCORE,GENRE V3,SCORE,GENRE V3,SCORE,GENRE V3,SCORE,GENRE V3,SCORE,MOOD,SCORE,MOOD SECONDARY,SCORE,MOOD VALENCE,SCORE,BPM,SCORE,BPM ALT,SCORE,BPM VARIATION,SCORE,KEY,SCORE,KEY SECONDARY,SCORE,KEY SHARP,SCORE,KEY SHARP SECONDARY,SCORE,KEY FLAT,SCORE,KEY FLAT SECONDARY,SCORE,ENERGY,SCORE,ENERGY VARIATION,SCORE,INSTRUMENTATION,SCORE,VOCAL PRESENCE,SCORE,VOCAL GENDER,SCORE,INSTRUMENT,SCORE,INSTRUMENT,SCORE,INSTRUMENT,SCORE,INSTRUMENT,SCORE
Retaliation.wav,Unknown,Unknown,music,99,high,71,,,,,Hip Hop,100,Trap,35,Pop Rap,27,,,powerful,61,angry,31,negative,88,140,93,,,small,1,,,,,C minor,96,,,,,,,medium,3,small,1,vocal,100,high,4,male,89,percussion,100,,,,,,
Spy Network.wav,Unknown,Unknown,music,100,low,31,,,,,Electronic,100,Downtempo,54,,,,,dark,52,quirky,23,negative,86,89,89,,,small,1,,,,,A minor,76,,,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,94,,,,,,
Spookyv8.wav,Unknown,Unknown,music,99,high,82,,,,,Electronic,79,Downtempo,44,Hip Hop,38,Alternative Hip Hop,22,quirky,100,,,positive,63,90,100,,,small,1,,,,,A minor,82,,,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
TheWolf.wav,Unknown,Unknown,music,100,medium,60,,,,,Electronic,49,Hip Hop,43,Downtempo,39,Alternative Hip Hop,21,powerful,59,relaxed,25,neutral,1,94,100,,,small,1,,,,,A minor,82,,,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
Bossed.wav,Unknown,Unknown,music,100,medium,49,,,,,Electronic,100,,,,,,,powerful,80,angry,18,negative,88,170,71,86,29,small,1,,,,,D minor,37,A minor,29,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
Bells.wav,Unknown,Unknown,music,98,medium,69,,,,,Electronic,87,Ambient,28,Indie,27,,,quirky,36,neutral,35,neutral,0,89,82,,,small,1,,,,,C major,65,A minor,35,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,69,,,,,,
Assembly.wav,Unknown,Unknown,music,96,low,19,,,,,Electronic,63,Indie,46,Synthwave,34,,,dark,69,tense,21,negative,76,120,100,,,small,1,,,,,E minor,49,A minor,35,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
Transform.wav,Unknown,Unknown,music,100,high,73,,,,,Electronic,70,Synthwave,37,Indie,33,,,relaxed,40,powerful,22,neutral,0,86,85,170,15,small,1,,,,,A minor,69,C major,25,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
Comms.wav,Unknown,Unknown,music,100,low,36,,,,,Electronic,100,Breakbeat,25,House,22,,,dark,65,tense,20,negative,80,<=60,71,63,26,small,1,,,,,B minor,61,,,,,,,low,2,small,1,instrumental,100,none,1,,,,,,,,,,
06_New_Matrix.mp3,Unknown,Unknown,music,100,medium,69,,,,,Hip Hop,100,Alternative Hip Hop,33,Old School Hip Hop,29,UK Grime,20,angry,64,powerful,38,negative,82,90,100,,,small,1,,,,,C minor,39,,,,,,,medium,3,small,1,vocal,100,high,4,male,100,percussion,100,,,,,,
